 ,Area,Mean,Min,Max,X,Y,Slice
1,0,37,37,37,596.333,442.333,1
2,0,9,9,9,1.75,2,1
3,0,160,160,160,539.667,452.333,1
4,0,148,148,148,504.333,483,1
5,0,9,9,9,1,1.25,1
6,0,9,9,9,1,1.25,1
7,0,63,63,63,499.667,435,1
8,0,109,109,109,443,449,1
9,0,103,103,103,473,474.333,1
10,0,91,91,91,470.333,519,1
11,0,47,47,47,510.333,535,1
12,0,196,196,196,376.333,476.333,1
13,0,13,13,13,328.333,455,1
14,0,12,12,12,0.5,1.25,1
15,0,9,9,9,1.25,1,1
16,0,93,93,93,533.667,519,1
17,0,12,12,12,0.5,1,1
18,0,12,12,12,0.75,2,1
19,0,9,9,9,1.5,1.75,1
20,0,37,37,37,447.667,491,1
21,0,9,9,9,1.5,1.75,1
22,0,12,12,12,0.75,1.5,1
67,0,84,84,84,881.333,482.667,4
68,0,4,4,4,1.667,2.333,4
69,0,104,104,104,831.333,498,4
70,0,124,124,124,868,539.333,4
71,0,172,172,172,903.333,568.667,4
72,0,95,95,95,912,566,4
73,0,78,78,78,797.333,488.667,4
74,0,102,102,102,730,491.333,4
75,0,85,85,85,738.667,535.333,4
76,0,125,125,125,686,532,4
77,0,0,0,0,0.667,3.667,4
78,0,188,188,188,674.667,516.667,4
79,0,93,93,93,630.667,550,4
80,0,32,32,32,1.667,1.333,4
81,0,31,31,31,838,540.667,4
82,0,32,32,32,1.333,1,4
83,0,4,4,4,1.333,2.333,4
84,0,25,25,25,0.667,1.333,4
85,0,4,4,4,1.333,2.333,4
86,0,36,36,36,2,1.667,4
87,0,32,32,32,1,1,4
88,0,6,6,6,2.333,2.333,4
133,0,114,114,114,1106,516.5,7
134,0,1,1,1,1.333,3,7
135,0,101,101,101,1063.5,525.5,7
136,0,191,191,191,1057,558.5,7
137,0,191,191,191,1099,570.5,7
138,0,148,148,148,1108,575.5,7
139,0,160,160,160,1029.5,514,7
140,0,179,179,179,989,518,7
141,0,185,185,185,1011,546.5,7
142,0,106,106,106,1010,577,7
143,0,10,10,10,2,2.333,7
144,0,153,153,153,958.5,542.5,7
145,0,45,45,45,999.5,546.5,7
146,0,15,15,15,1.667,1,7
147,0,14,14,14,1.333,0.667,7
148,0,19,19,19,2,1.667,7
149,0,102,102,102,1084,582.5,7
150,0,15,15,15,1.667,1.667,7
151,0,15,15,15,1.333,1.333,7
152,0,15,15,15,1.333,1.333,7
153,0,35,35,35,2,0.667,7
154,0,15,15,15,1,1.667,7
287,0,20,20,20,1.667,1.667,14
288,0,28,28,28,3,1.167,14
289,0,153,153,153,1326.5,556.5,14
290,0,20,20,20,1.5,2,14
291,0,28,28,28,2,1.333,14
292,0,28,28,28,2,1.333,14
293,0,146,146,146,1292,535.5,14
294,0,136,136,136,1259,551,14
295,0,123,123,123,1282,572.5,14
296,0,28,28,28,2.833,1.167,14
297,0,2,2,2,1.333,2.167,14
298,0,172,172,172,1219,583.5,14
299,0,20,20,20,1,1.833,14
300,0,20,20,20,1,1.5,14
301,0,28,28,28,2,1.5,14
302,0,19,19,19,0.75,1.75,14
303,0,20,20,20,1.5,1.75,14
304,0,20,20,20,1.5,1.5,14
305,0,20,20,20,1.5,1.75,14
306,0,2,2,2,2,2.75,14
307,0,20,20,20,1.75,1,14
308,0,28,28,28,2.5,1.75,14
331,0,2,2,2,1.75,2.25,16
332,0,14,14,14,1.5,1.25,16
333,0,171,171,171,1523,567.5,16
334,0,158,158,158,1538.5,608.5,16
335,0,139,139,139,1590,604,16
336,0,63,63,63,1600.5,605.5,16
337,0,95,95,95,1474,566,16
338,0,52,52,52,1422,567,16
339,0,120,120,120,1416,597,16
340,0,166,166,166,1374,586.5,16
341,0,26,26,26,2,1.5,16
342,0,139,139,139,1370,544,16
343,0,48,48,48,1326,534.667,16
344,0,14,14,14,1.25,1.25,16
345,0,2,2,2,1.5,2.25,16
346,0,26,26,26,2.25,1.25,16
347,0,10,10,10,2.75,2.25,16
348,0,10,10,10,2.5,2.25,16
349,0,10,10,10,2,2.25,16
350,0,14,14,14,1.5,1.25,16
351,0,28,28,28,3.25,2,16
352,0,14,14,14,1.5,1.25,16
375,0,4,4,4,1,4.25,18
376,0,0,0,0,1.75,3.25,18
377,0,159,159,159,1641.5,589,18
378,0,84,84,84,1631,627.5,18
379,0,0,0,0,1.5,3,18
380,0,21,21,21,2.5,2,18
381,0,81,81,81,1612.667,576,18
382,0,95,95,95,1558.667,574.667,18
383,0,206,206,206,1582.667,577.333,18
384,0,37,37,37,1578.667,620,18
385,0,120,120,120,1610.667,620,18
386,0,57,57,57,1519.333,561.333,18
387,0,27,27,27,1544,511.333,18
388,0,27,27,27,1,1.75,18
389,0,27,27,27,1.75,1.75,18
390,0,21,21,21,3,2,18
391,0,21,21,21,3.5,2,18
392,0,31,31,31,4.5,2,18
393,0,21,21,21,3.5,1.5,18
394,0,21,21,21,2.25,1.75,18
395,0,2,2,2,2,2.5,18
396,0,2,2,2,2,2.333,18
485,0,27,27,27,1,1.25,23
486,0,27,27,27,1,1,23
487,0,129,129,129,1818,607.5,23
488,0,139,139,139,1851,654,23
489,0,27,27,27,1.5,1.25,23
490,0,7,7,7,1.5,2.5,23
491,0,167,167,167,1787,593.5,23
492,0,147,147,147,1737,586,23
493,0,128,128,128,1764.5,617.5,23
494,0,109,109,109,1711,625.5,23
495,0,27,27,27,1,1.5,23
496,0,112,112,112,1665.5,573.5,23
497,0,33,33,33,1643,524.5,23
498,0,7,7,7,1.75,2.25,23
499,0,27,27,27,2.75,1,23
500,0,27,27,27,2.5,2,23
501,0,31,31,31,0.75,1.75,23
502,0,27,27,27,1.5,1.25,23
503,0,27,27,27,2.25,1.25,23
504,0,51,51,51,1701,616.5,23
505,0,27,27,27,1.5,1.75,23
506,0,27,27,27,1.75,1.75,23
