 ,Area,Mean,Min,Max,X,Y,Slice
1,0,104,104,104,2.000,2.000,1
2,0,16,16,16,1324.000,519.000,1
3,0,108,108,108,4.000,6.000,1
4,0,108,108,108,4.000,8.000,1
5,0,30,30,30,1279.500,623.000,1
6,0,10,10,10,1266.000,619.000,1
7,0,63,63,63,1409.000,550.000,1
8,0,107,107,107,8.000,8.000,1
9,0,107,107,107,6.000,4.000,1
10,0,23,23,23,1444.667,612.333,1
11,0,26,26,26,1418.667,635.000,1
12,0,109,109,109,2.000,6.000,1
13,0,108,108,108,6.000,6.000,1
14,0,5,5,5,1374.667,554.333,1
15,0,26,26,26,1374.667,599.000,1
16,0,21,21,21,1320.000,611.667,1
17,0,22,22,22,1306.667,621.000,1
18,0,24,24,24,1462.667,565.000,1
19,0,15,15,15,1460.000,605.000,1
20,0,58,58,58,1495.333,597.000,1
21,0,30,30,30,1489.333,627.667,1
22,0,105,105,105,4.000,4.000,1
23,0,107,107,107,6.000,8.000,2
24,0,23,23,23,1212.667,533.667,2
25,0,107,107,107,8.000,8.000,2
26,0,14,14,14,1218.000,619.667,2
27,0,33,33,33,1157.333,642.333,2
28,0,29,29,29,1143.333,642.333,2
29,0,30,30,30,1300.667,558.333,2
30,0,107,107,107,8.000,8.000,2
31,0,107,107,107,8.000,6.000,2
32,0,108,108,108,6.000,6.000,2
33,0,57,57,57,1384.667,627.000,2
34,0,20,20,20,1395.333,553.000,2
35,0,14,14,14,1414.667,537.000,2
36,0,11,11,11,1266.000,577.000,2
37,0,38,38,38,1246.000,629.000,2
38,0,107,107,107,8.000,6.000,2
39,0,108,108,108,4.000,6.000,2
40,0,11,11,11,1363.333,557.000,2
41,0,71,71,71,1366.000,599.667,2
42,0,7,7,7,1405.333,586.333,2
43,0,24,24,24,1407.333,634.333,2
44,0,107,107,107,6.000,8.000,2
45,0,107,107,107,2.000,8.000,3
46,0,15,15,15,854.667,539.333,3
47,0,105,105,105,4.000,6.000,3
48,0,105,105,105,4.000,8.000,3
49,0,105,105,105,0.000,6.000,3
50,0,103,103,103,0.000,4.000,3
51,0,17,17,17,958.000,581.333,3
52,0,107,107,107,2.000,6.000,3
53,0,105,105,105,4.000,6.000,3
54,0,21,21,21,1010.667,632.000,3
55,0,24,24,24,987.333,658.667,3
56,0,105,105,105,2.000,2.000,3
57,0,15,15,15,1047.333,539.333,3
58,0,31,31,31,910.000,582.667,3
59,0,31,31,31,874.000,639.333,3
60,0,21,21,21,793.333,663.333,3
61,0,45,45,45,774.000,660.000,3
62,0,22,22,22,1032.667,577.333,3
63,0,26,26,26,1032.667,631.333,3
64,0,33,33,33,1074.000,609.333,3
65,0,73,73,73,1078.000,657.333,3
66,0,105,105,105,3.500,2.000,3
67,0,105,105,105,2.667,3.333,4
68,0,109,109,109,3.333,2.000,4
69,0,109,109,109,3.667,2.667,4
70,0,105,105,105,2.333,3.000,4
71,0,104,104,104,2.667,1.667,4
72,0,108,108,108,3.000,3.000,4
73,0,20,20,20,858.000,587.000,4
74,0,108,108,108,3.000,3.000,4
75,0,107,107,107,3.333,4.333,4
76,0,108,108,108,3.667,3.000,4
77,0,109,109,109,3.333,2.667,4
78,0,32,32,32,928.000,517.000,4
79,0,3,3,3,900.000,475.000,4
80,0,1,1,1,798.667,606.667,4
81,0,18,18,18,782.000,676.000,4
82,0,108,108,108,3.000,3.000,4
83,0,109,109,109,4.667,3.000,4
84,0,7,7,7,936.333,579.667,4
85,0,32,32,32,911.667,614.333,4
86,0,12,12,12,955.000,639.000,4
87,0,37,37,37,912.333,659.000,4
88,0,107,107,107,2.667,2.000,4
89,0,108,108,108,6.000,6.000,5
90,0,14,14,14,587.000,546.000,5
91,0,103,103,103,0.000,8.000,5
92,0,108,108,108,8.000,6.000,5
93,0,108,108,108,4.000,6.000,5
94,0,110,110,110,0.000,2.000,5
95,0,32,32,32,707.000,605.000,5
96,0,108,108,108,4.000,6.000,5
97,0,106,106,106,4.000,2.000,5
98,0,108,108,108,4.000,6.000,5
99,0,106,106,106,4.000,4.000,5
100,0,150,150,150,810.000,633.000,5
101,0,39,39,39,855.000,615.000,5
102,0,3,3,3,665.000,620.000,5
103,0,97,97,97,669.000,665.000,5
104,0,0,0,0,600.000,667.000,5
105,0,2,2,2,600.000,683.000,5
106,0,43,43,43,765.000,621.000,5
107,0,108,108,108,4.000,6.000,5
108,0,108,108,108,8.000,6.000,5
109,0,104,104,104,2.000,6.000,5
110,0,108,108,108,4.000,6.000,5
111,0,105,105,105,0.000,6.000,6
112,0,106,106,106,4.000,2.000,6
113,0,106,106,106,2.000,2.000,6
114,0,106,106,106,4.000,2.000,6
115,0,7,7,7,601.000,692.000,6
116,0,43,43,43,582.000,707.000,6
117,0,2,2,2,742.000,536.000,6
118,0,107,107,107,4.000,4.000,6
119,0,105,105,105,6.000,2.000,6
120,0,57,57,57,840.000,641.000,6
121,0,15,15,15,776.000,713.000,6
122,0,2,2,2,946.333,563.000,6
123,0,23,23,23,1017.000,504.333,6
124,0,14,14,14,663.667,597.667,6
125,0,18,18,18,711.667,696.333,6
126,0,117,117,117,669.000,755.000,6
127,0,42,42,42,665.000,771.000,6
128,0,48,48,48,846.333,573.667,6
129,0,25,25,25,791.667,607.000,6
130,0,40,40,40,826.333,675.000,6
131,0,14,14,14,751.667,701.667,6
132,0,109,109,109,2.000,6.000,6
133,0,106,106,106,4.000,6.000,7
134,0,9,9,9,690.000,591.000,7
135,0,106,106,106,4.000,6.000,7
136,0,106,106,106,4.000,6.000,7
137,0,111,111,111,0.000,10.000,7
138,0,106,106,106,4.000,4.000,7
139,0,3,3,3,869.000,595.000,7
140,0,106,106,106,4.000,6.000,7
141,0,109,109,109,2.000,4.000,7
142,0,107,107,107,4.000,2.000,7
143,0,106,106,106,4.000,6.000,7
144,0,109,109,109,8.000,6.000,7
145,0,107,107,107,4.000,2.000,7
146,0,1,1,1,772.000,637.000,7
147,0,10,10,10,774.000,709.000,7
148,0,109,109,109,6.000,6.000,7
149,0,109,109,109,4.000,8.000,7
150,0,55,55,55,956.000,649.000,7
151,0,36,36,36,887.000,623.000,7
152,0,109,109,109,6.000,6.000,7
153,0,109,109,109,6.000,6.000,7
154,0,48,48,48,446.000,704.000,7
155,0,38,38,38,1474.000,497.000,8
156,0,105,105,105,1.333,4.667,8
157,0,48,48,48,1320.000,550.000,8
158,0,22,22,22,1252.000,614.000,8
159,0,7,7,7,1408.000,658.000,8
160,0,22,22,22,1372.000,720.000,8
161,0,78,78,78,1208.000,560.000,8
162,0,80,80,80,1038.000,618.000,8
163,0,18,18,18,1084.000,694.000,8
164,0,106,106,106,1.333,2.000,8
165,0,105,105,105,4.000,2.000,8
166,0,106,106,106,4.000,3.333,8
167,0,105,105,105,2.667,3.333,8
168,0,106,106,106,2.667,4.000,8
169,0,106,106,106,4.000,3.333,8
170,0,3,3,3,1276.000,744.000,8
171,0,22,22,22,1204.000,742.000,8
172,0,105,105,105,1.333,4.667,8
173,0,108,108,108,5.333,4.000,8
174,0,106,106,106,4.000,3.333,8
175,0,108,108,108,5.333,3.333,8
176,0,109,109,109,5.333,2.667,8
