 ,Area,Mean,Min,Max,X,Y,Slice
1,0,149,149,149,0.375,0.500,1
2,0,34,34,34,1405.500,514.000,1
3,0,149,149,149,0.500,0.375,1
4,0,192,192,192,1403.000,569.000,1
5,0,39,39,39,1372.500,593.500,1
6,0,183,183,183,1359.000,590.500,1
7,0,120,120,120,1476.000,529.000,1
8,0,149,149,149,0.625,0.625,1
9,0,80,80,80,1503.000,570.500,1
10,0,40,40,40,1532.500,579.500,1
11,0,138,138,138,1525.000,606.500,1
12,0,62,62,62,1548.000,511.000,1
13,0,12,12,12,1559.000,484.500,1
14,0,167,167,167,1447.000,530.000,1
15,0,163,163,163,1432.500,571.000,1
16,0,125,125,125,1410.000,601.000,1
17,0,149,149,149,0.125,0.375,1
18,0,98,98,98,1524.000,532.000,1
19,0,75,75,75,1538.000,573.000,1
20,0,167,167,167,1564.000,568.500,1
21,0,80,80,80,1571.000,606.000,1
22,0,149,149,149,0.375,0.625,1
23,0,149,149,149,0.500,0.500,2
24,0,47,47,47,1175.667,506.667,2
25,0,149,149,149,0.125,0.250,2
26,0,149,149,149,0.250,0.750,2
27,0,141,141,141,1242.333,580.667,2
28,0,115,115,115,1262.333,576.000,2
29,0,88,88,88,1265.000,506.000,2
30,0,149,149,149,0.500,0.375,2
31,0,149,149,149,0.250,0.625,2
32,0,149,149,149,0.250,0.500,2
33,0,149,149,149,0.625,0.375,2
34,0,186,186,186,1351.667,508.667,2
35,0,1,1,1,1346.333,481.333,2
36,0,147,147,147,1229.000,515.333,2
37,0,154,154,154,1245.667,546.667,2
38,0,137,137,137,1197.667,582.000,2
39,0,100,100,100,1199.000,595.333,2
40,0,145,145,145,1321.667,522.667,2
41,0,145,145,145,1292.333,548.667,2
42,0,75,75,75,1296.333,575.333,2
43,0,164,164,164,1258.333,596.000,2
44,0,149,149,149,0.375,0.250,2
45,0,147,147,147,6.000,2.000,3
46,0,38,38,38,705.333,495.000,3
47,0,147,147,147,4.000,6.000,3
48,0,149,149,149,4.000,8.000,3
49,0,152,152,152,4.000,2.000,3
50,0,149,149,149,0.000,4.000,3
51,0,70,70,70,815.333,483.000,3
52,0,147,147,147,8.000,4.000,3
53,0,147,147,147,4.000,4.000,3
54,0,63,63,63,884.000,549.667,3
55,0,72,72,72,852.000,585.667,3
56,0,36,36,36,942.667,489.667,3
57,0,20,20,20,960.667,441.000,3
58,0,110,110,110,772.000,495.000,3
59,0,151,151,151,792.667,537.667,3
60,0,160,160,160,746.667,560.333,3
61,0,103,103,103,748.667,573.667,3
62,0,138,138,138,880.667,497.667,3
63,0,176,176,176,845.333,519.000,3
64,0,110,110,110,858.667,564.333,3
65,0,105,105,105,817.333,579.000,3
66,0,149,149,149,0.000,4.000,3
67,0,151,151,151,2.000,2.000,4
68,0,85,85,85,536.667,493.333,4
69,0,147,147,147,2.000,6.000,4
70,0,146,146,146,4.000,4.000,4
71,0,118,118,118,566.667,548.000,4
72,0,52,52,52,555.333,572.667,4
73,0,128,128,128,648.000,494.000,4
74,0,149,149,149,0.000,4.000,4
75,0,63,63,63,677.000,535.000,4
76,0,125,125,125,687.000,571.000,4
77,0,157,157,157,650.000,584.000,4
78,0,160,160,160,784.000,489.000,4
79,0,49,49,49,821.000,456.500,4
80,0,86,86,86,603.500,501.000,4
81,0,87,87,87,614.000,540.000,4
82,0,151,151,151,580.500,585.000,4
83,0,150,150,150,2.000,4.000,4
84,0,133,133,133,713.500,501.500,4
85,0,57,57,57,715.000,552.000,4
86,0,105,105,105,768.000,550.000,4
87,0,103,103,103,773.000,587.000,4
88,0,149,149,149,6.000,8.000,4
89,0,150,150,150,2.000,1.500,5
90,0,79,79,79,274.000,489.500,5
91,0,150,150,150,2.500,1.000,5
92,0,146,146,146,3.000,2.000,5
93,0,140,140,140,380.333,558.000,5
94,0,76,76,76,395.000,560.000,5
95,0,114,114,114,371.000,469.333,5
96,0,150,150,150,2.000,1.000,5
97,0,146,146,146,3.000,2.000,5
98,0,88,88,88,447.000,534.000,5
99,0,37,37,37,424.333,566.000,5
100,0,159,159,159,495.000,460.667,5
101,0,38,38,38,515.667,408.000,5
102,0,141,141,141,330.333,480.667,5
103,0,97,97,97,339.667,526.000,5
104,0,145,145,145,304.333,542.667,5
105,0,77,77,77,306.333,560.667,5
106,0,125,125,125,421.667,484.000,5
107,0,167,167,167,395.000,515.333,5
108,0,112,112,112,415.000,557.333,5
109,0,127,127,127,379.667,570.667,5
110,0,146,146,146,3.000,2.000,5
