 ,Area,Mean,Min,Max,X,Y,Slice
1,0,5,5,5,913.667,525.667,1
2,0,12,12,12,923.000,527.667,1
3,0,129,129,129,861.667,567.000,1
4,0,215,215,215,883.667,605.000,1
5,0,193,193,193,923.667,639.000,1
6,0,37,37,37,932.333,642.333,1
7,0,115,115,115,852.333,561.000,1
8,0,153,153,153,817.667,575.667,1
9,0,201,201,201,821.000,597.000,1
10,0,161,161,161,807.667,609.000,1
11,0,102,102,102,804.333,634.333,1
12,0,204,204,204,2.000,4.000,1
13,0,203,203,203,4.000,8.000,1
14,0,203,203,203,8.000,6.000,1
15,0,208,208,208,924.333,605.000,1
16,0,192,192,192,960.333,643.000,1
17,0,67,67,67,972.333,643.667,1
18,0,204,204,204,4.000,6.000,1
19,0,204,204,204,6.000,6.000,1
20,0,203,203,203,4.000,2.000,1
21,0,203,203,203,4.000,8.000,1
22,0,203,203,203,6.000,8.000,1
23,0,6,6,6,841.000,487.000,2
24,0,38,38,38,883.333,489.333,2
25,0,201,201,201,2.000,6.000,2
26,0,204,204,204,4.000,2.000,2
27,0,127,127,127,1090.000,705.000,2
28,0,92,92,92,1138.000,702.000,2
29,0,141,141,141,967.000,526.000,2
30,0,203,203,203,8.000,6.000,2
31,0,203,203,203,6.000,2.000,2
32,0,204,204,204,4.000,2.000,2
33,0,101,101,101,1116.000,752.000,2
34,0,40,40,40,1182.000,568.000,2
35,0,116,116,116,1200.000,510.000,2
36,0,3,3,3,925.000,558.000,2
37,0,154,154,154,1014.000,591.000,2
38,0,153,153,153,1002.000,689.000,2
39,0,60,60,60,1066.000,698.000,2
40,0,201,201,201,1117.000,554.000,2
41,0,108,108,108,1100.000,598.000,2
42,0,119,119,119,1219.000,689.000,2
43,0,32,32,32,1200.000,769.000,2
44,0,204,204,204,2.000,2.000,2
45,0,202,202,202,4.000,6.000,3
46,0,14,14,14,518.000,476.000,3
47,0,203,203,203,6.000,6.000,3
48,0,18,18,18,704.000,698.000,3
49,0,42,42,42,524.000,666.000,3
50,0,65,65,65,452.000,694.000,3
51,0,215,215,215,856.000,556.000,3
52,0,204,204,204,4.000,8.000,3
53,0,115,115,115,1020.000,730.000,3
54,0,204,204,204,4.000,8.000,3
55,0,203,203,203,6.000,6.000,3
56,0,130,130,130,1144.000,532.000,3
57,0,57,57,57,1176.000,434.000,3
58,0,106,106,106,684.000,540.000,3
59,0,84,84,84,656.000,670.000,3
60,0,104,104,104,436.000,774.000,3
61,0,197,197,197,384.000,782.000,3
62,0,93,93,93,1032.000,578.000,3
63,0,165,165,165,1100.000,706.000,3
64,0,138,138,138,1254.000,694.000,3
65,0,32,32,32,1272.000,794.000,3
66,0,203,203,203,8.000,6.000,3
67,0,204,204,204,3.000,3.500,4
68,0,203,203,203,2.500,2.000,4
69,0,203,203,203,1.500,3.500,4
70,0,20,20,20,402.000,646.000,4
71,0,203,203,203,4.000,2.500,4
72,0,204,204,204,4.000,3.000,4
73,0,171,171,171,450.000,494.000,4
74,0,204,204,204,3.000,3.500,4
75,0,9,9,9,562.000,652.000,4
76,0,204,204,204,4.000,3.000,4
77,0,204,204,204,4.500,3.500,4
78,0,42,42,42,834.000,578.000,4
79,0,99,99,99,1004.000,606.000,4
80,0,103,103,103,306.000,522.000,4
81,0,184,184,184,360.000,594.000,4
82,0,116,116,116,316.000,714.000,4
83,0,189,189,189,348.000,758.000,4
84,0,192,192,192,640.000,498.000,4
85,0,168,168,168,532.000,584.000,4
86,0,123,123,123,728.000,594.000,4
87,0,138,138,138,698.000,730.000,4
88,0,203,203,203,2.000,4.000,4
